segid, numpos, num1mm, num2mm, num5mm, num2hits, ratio numpos, ratio num1mm, ratio num2mm, ratio num5mm, ratio num2hits
0, 5655, 3598, 4338, 5073, 37, 100, 63.6251, 76.7109, 89.7082, 0.654288
1, 5265, 3473, 4219, 4941, 24, 100, 65.9639, 80.133, 93.8462, 0.45584
2, 4732, 3855, 4133, 4511, 7, 100, 81.4666, 87.3415, 95.3297, 0.147929
3, 4732, 3429, 3823, 4448, 9, 100, 72.4641, 80.7904, 93.9983, 0.190194
4, 4732, 3765, 4187, 4579, 22, 100, 79.5647, 88.4827, 96.7667, 0.46492
5, 5460, 4352, 4729, 5186, 15, 100, 79.707, 86.6117, 94.9817, 0.274725
6, 4147, 3515, 3645, 3874, 2, 100, 84.7601, 87.8949, 93.4169, 0.0482276
7, 4212, 3808, 3932, 4093, 1, 100, 90.4084, 93.3523, 97.1747, 0.0237417
8, 4056, 3891, 3936, 4010, 2, 100, 95.932, 97.0414, 98.8659, 0.0493097
9, 3900, 3457, 3517, 3678, 5, 100, 88.641, 90.1795, 94.3077, 0.128205
10, 3900, 3679, 3753, 3810, 4, 100, 94.3333, 96.2308, 97.6923, 0.102564
11, 4212, 3969, 4024, 4103, 2, 100, 94.2308, 95.5366, 97.4122, 0.0474834
12, 6240, 5364, 5515, 5844, 3, 100, 85.9615, 88.3814, 93.6538, 0.0480769
13, 6032, 5561, 5675, 5852, 5, 100, 92.1916, 94.0816, 97.0159, 0.0828912
14, 5824, 5629, 5706, 5730, 5, 100, 96.6518, 97.9739, 98.386, 0.0858516
15, 5967, 5502, 5616, 5778, 1, 100, 92.2071, 94.1176, 96.8326, 0.0167588
16, 5967, 5664, 5788, 5850, 4, 100, 94.9221, 97.0002, 98.0392, 0.0670354
17, 6409, 6089, 6186, 6260, 9, 100, 95.007, 96.5205, 97.6751, 0.140428
18, 7722, 7396, 7487, 7562, 2, 100, 95.7783, 96.9567, 97.928, 0.0259
19, 7254, 6812, 6949, 7064, 2, 100, 93.9068, 95.7954, 97.3808, 0.027571
20, 7020, 6837, 6924, 6957, 3, 100, 97.3932, 98.6325, 99.1026, 0.042735
21, 7020, 6335, 6544, 6750, 8, 100, 90.2422, 93.2194, 96.1538, 0.11396
22, 7020, 6692, 6815, 6882, 4, 100, 95.3276, 97.0798, 98.0342, 0.0569801
23, 7488, 7203, 7296, 7335, 4, 100, 96.1939, 97.4359, 97.9567, 0.0534188
24, 10010, 9839, 9902, 9924, 0, 100, 98.2917, 98.9211, 99.1409, 0
25, 9724, 9478, 9633, 9706, 3, 100, 97.4702, 99.0642, 99.8149, 0.0308515
26, 9724, 9528, 9681, 9709, 1, 100, 97.9844, 99.5578, 99.8457, 0.0102838
27, 9438, 9013, 9196, 9313, 7, 100, 95.4969, 97.4359, 98.6756, 0.0741683
28, 9438, 9272, 9369, 9411, 0, 100, 98.2412, 99.2689, 99.7139, 0
29, 9724, 9519, 9656, 9679, 1, 100, 97.8918, 99.3007, 99.5372, 0.0102838
30, 6435, 6080, 6286, 6342, 2, 100, 94.4833, 97.6845, 98.5548, 0.03108
31, 6435, 6148, 6357, 6420, 2, 100, 95.54, 98.7879, 99.7669, 0.03108
32, 6240, 5874, 6096, 6179, 0, 100, 94.1346, 97.6923, 99.0224, 0
33, 6435, 6217, 6408, 6423, 1, 100, 96.6123, 99.5804, 99.8135, 0.01554
34, 6006, 5667, 5855, 5965, 3, 100, 94.3556, 97.4858, 99.3173, 0.04995
35, 6435, 6124, 6349, 6433, 1, 100, 95.1671, 98.6636, 99.9689, 0.01554
