RefOffset, Offset of the evt, Deltat
160.777206, 161.994568, -1
160.777206, 160.411118, 0
160.777206, 163.383728, -2
160.777206, 161.360550, 0
160.777206, 161.294540, 0
160.777206, 159.199417, 1
160.777206, 162.436127, -1
160.777206, 162.373596, -1
160.777206, 161.655167, 0
160.777206, 161.051910, 0
160.777206, 160.954544, 0
160.777206, 160.164169, 0
160.777206, 161.137360, 0
160.777206, 161.719421, 0
160.777206, 159.795303, 0
160.777206, 161.706284, 0
160.777206, 160.501862, 0
160.777206, 160.828934, 0
160.777206, 160.908737, 0
160.777206, 161.553467, 0
160.777206, 161.026291, 0
160.777206, 160.561829, 0
160.777206, 162.354294, -1
160.777206, 163.175323, -2
160.777206, 159.680954, 1
160.777206, 162.046860, -1
160.777206, 161.609207, 0
160.777206, 158.378479, 2
160.777206, 161.310532, 0
160.777206, 159.818710, 0
160.777206, 162.317108, -1
160.777206, 163.152939, -2
160.777206, 159.508453, 1
160.777206, 160.980743, 0
160.777206, 159.959366, 0
160.777206, 161.541000, 0
160.777206, 159.810715, 0
160.777206, 161.441483, 0
160.777206, 161.469391, 0
160.777206, 160.745987, 0
160.777206, 160.945511, 0
160.777206, 162.917938, -2
160.777206, 159.540726, 1
160.777206, 159.743591, 1
160.777206, 160.613815, 0
160.777206, 161.795685, -1
160.777206, 159.235077, 1
160.777206, 162.691360, -1
160.777206, 159.491058, 1
160.777206, 161.146103, 0
160.777206, 162.989807, -2
160.777206, 159.692307, 1
160.777206, 160.812088, 0
160.777206, 161.973572, -1
160.777206, 159.598221, 1
160.777206, 160.120087, 0
160.777206, 161.412109, 0
160.777206, 161.561203, 0
160.777206, 162.292603, -1
160.777206, 162.333740, -1
160.777206, 160.351044, 0
160.777206, 161.829971, -1
160.777206, 159.705399, 1
160.777206, 162.622833, -1
160.777206, 159.389984, 1
160.777206, 160.762665, 0
160.777206, 159.865967, 0
160.777206, 159.777771, 0
