
 RefOffset = 159.144791 
 evtnum, Offset of the evt, Deltat
0, 156.847397, 2
1, 155.686966, 3
2, 155.874939, 3
3, 156.219070, 2
4, 155.646210, 3
5, 156.744400, 2
6, 155.423721, 3
7, 156.797470, 2
8, 158.969742, 0
9, 156.000000, 3
10, 156.687500, 2
11, 155.878159, 3
12, 156.806992, 2
13, 158.045502, 1
14, 156.909592, 2
15, 156.857208, 2
16, 156.308105, 2
17, 155.106918, 4
18, 155.959427, 3
19, 155.166672, 3
20, 155.918121, 3
21, 156.086029, 3
22, 156.866852, 2
23, 156.100891, 3
24, 155.070374, 4
25, 157.240540, 1
26, 155.877243, 3
27, 154.689316, 4
28, 157.224106, 1
