
 RefOffset = 160.858353 
 evtnum, Offset of the evt, Deltat
0, 161.766266, 0
1, 158.932861, 1
2, 156.035263, 4
3, 158.692871, 2
4, 159.882660, 0
5, 156.873535, 3
6, 159.728348, 1
7, 160.723923, 0
8, 159.210526, 1
9, 159.670517, 1
10, 159.136215, 1
11, 159.714874, 1
12, 161.576233, 0
13, 160.128922, 0
14, 157.782349, 3
15, 158.095444, 2
16, 159.243301, 1
17, 159.650345, 1
18, 158.904602, 1
19, 159.706543, 1
20, 158.834091, 2
21, 160.078949, 0
22, 160.673172, 0
23, 159.172256, 1
24, 159.820145, 1
25, 157.999329, 2
26, 159.524902, 1
27, 159.896866, 0
28, 158.473083, 2
29, 158.856415, 2
30, 159.023666, 1
31, 159.693680, 1
