Run number, Segmant number, average timing(ns), timing distribution (ns) FWHM
111, 15, 161.138, 2.80972
113, 15, 154.791, 2.67591
114, 9, 161.435, 2.84618
114, 15, 160.018, 2.69743
125, 15, 156.494, 2.0661
126, 9, 156.363, 2.00131
126, 15, 156.152, 1.81912
142, 15, 156.347, 2.04619
143, 9, 160.442, 1.48066
143, 15, 159.309, 2.26365
148, 9, 156.098, 1.63178
148, 15, 155.636, 2.46042
149, 15, 156.392, 2.40523
150, 15, 156.505, 2.11897
160, 9, 155, 1.68817
160, 15, 155.319, 1.78033
161, 15, 155.27, 1.78875
