runn, x, y, z 
46891, 0.866682, 5.937075, 17.984039 
46892, 0.768705, 5.950554, 18.225010 
46893, 0.746117, 5.953428, 18.712900 
46894, 0.763734, 5.951194, 19.292526 
46895, 0.860807, 5.937930, 19.861294 
46896, 0.820029, 5.943698, 20.847452 
46897, 0.798017, 5.946694, 22.236900 
46898, 0.851595, 5.939258, 23.506413 
46899, 0.888838, 5.933799, 24.280554 
46900, 0.887867, 5.933944, 24.739571 
46901, 0.867986, 5.936885, 25.001682 
46902, 0.867654, 5.936933, 25.132858 
46903, 0.706260, 5.958288, 17.861847 
46904, 0.611309, 5.968777, 18.109957 
46905, 0.585651, 5.971349, 18.612301 
46906, 0.601810, 5.969742, 19.209097 
46907, 0.698073, 5.959253, 19.794718 
46908, 0.659736, 5.963619, 20.810091 
46909, 0.640226, 5.965745, 22.240702 
46910, 0.688724, 5.960340, 23.547825 
46911, 0.725337, 5.955996, 24.344900 
46912, 0.724721, 5.956071, 24.817514 
46913, 0.705878, 5.958333, 25.087391 
46914, 0.705541, 5.958373, 25.222454 
46915, 0.246101, 5.994951, 17.699015 
46916, 0.160242, 5.997860, 17.968451 
46917, 0.125856, 5.998680, 18.513975 
46918, 0.137761, 5.998418, 19.162071 
46919, 0.231290, 5.995541, 19.798029 
46920, 0.200143, 5.996661, 20.900682 
46921, 0.187907, 5.997057, 22.454266 
46922, 0.221587, 5.995907, 23.873743 
46923, 0.256224, 5.994526, 24.739334 
46924, 0.256637, 5.994509, 25.252573 
46925, 0.240864, 5.995163, 25.545647 
46926, 0.240514, 5.995177, 25.692320 
46927, -0.477482, 5.980971, 17.573334 
46928, -0.548043, 5.974918, 17.822670 
46929, -0.595722, 5.970353, 18.327494 
46930, -0.590633, 5.970859, 18.927238 
46931, -0.502540, 5.978918, 19.515751 
46932, -0.522003, 5.977250, 20.536139 
46933, -0.522661, 5.977192, 21.973816 
46934, -0.512680, 5.978056, 23.287394 
46935, -0.481582, 5.980642, 24.088406 
46936, -0.479554, 5.980805, 24.563354 
46937, -0.490299, 5.979934, 24.834564 
46938, -0.490664, 5.979904, 24.970293 
46939, -1.613142, 5.779081, 17.289652 
46940, -1.658121, 5.766336, 17.540096 
46941, -1.724741, 5.746761, 18.047169 
46942, -1.730223, 5.745113, 18.649582 
46943, -1.653177, 5.767756, 19.240711 
46944, -1.654114, 5.767487, 20.265638 
46945, -1.636982, 5.772373, 21.709713 
46946, -1.663671, 5.764738, 23.029135 
46947, -1.638976, 5.771807, 23.833712 
46948, -1.634530, 5.773068, 24.310774 
46949, -1.637218, 5.772306, 24.583189 
46950, -1.637596, 5.772199, 24.719522 
46951, -2.733252, 5.341286, 16.706451 
46952, -2.752508, 5.331388, 16.974508 
46953, -2.833838, 5.288607, 17.517241 
46954, -2.848833, 5.280544, 18.162018 
46955, -2.785440, 5.314257, 18.794718 
46956, -2.769151, 5.322763, 19.891724 
46957, -2.736203, 5.339775, 21.437351 
46958, -2.795794, 5.308817, 22.849562 
46959, -2.778142, 5.318076, 23.710718 
46960, -2.771653, 5.321460, 24.221331 
46961, -2.766744, 5.324014, 24.512903 
46962, -2.767118, 5.323820, 24.658825 
46963, -3.557039, 4.831923, 16.550367 
46964, -3.558204, 4.831064, 16.815569 
46965, -3.646151, 4.765038, 17.352514 
46966, -3.666862, 4.749118, 17.990421 
46967, -3.615235, 4.788536, 18.616381 
46968, -3.588081, 4.808917, 19.701696 
46969, -3.545794, 4.840180, 21.230852 
46970, -3.625061, 4.781102, 22.628012 
46971, -3.612854, 4.790332, 23.479992 
46972, -3.605274, 4.796040, 23.985163 
46973, -3.595485, 4.803383, 24.273628 
46974, -3.595840, 4.803117, 24.417995 
46975, -4.386221, 4.094028, 16.373568 
46976, -4.371377, 4.109873, 16.639711 
46977, -4.459860, 4.013682, 17.178570 
46978, -4.484227, 3.986440, 17.818748 
46979, -4.446082, 4.028940, 18.446936 
46980, -4.411128, 4.067180, 19.536114 
46981, -4.363127, 4.118631, 21.070713 
46982, -4.454825, 4.019270, 22.472847 
46983, -4.596395, 4.160907, 23.327860 
