runn, x, y, z 
73140, -5.854484, 1.313401, 30.313881 
73200, -5.980889, 0.478502, 39.742832 
73260, -5.943856, -0.818886, 33.111217 
73320, -6.403467, 1.829723, 24.676558 
73380, -6.639202, 1.086967, 34.785610 
73440, -6.735769, -0.050542, 25.637075 
73500, -6.607818, -1.257578, 36.885319 
73560, -7.062170, 2.198984, 25.195284 
73620, -7.552781, 0.996575, 37.948582 
73680, -7.478980, -0.423546, 26.098658 
73740, -7.344751, -1.762981, 38.410156 
73800, -7.870555, 2.298362, 26.118189 
73860, -8.623190, 0.744067, 38.958206 
73920, -8.198599, -1.126671, 27.434404 
73980, -8.174553, -2.261903, 39.563309 
74040, -8.825981, 2.317171, 28.317543 
74100, -9.812902, 0.375272, 39.781765 
74160, -8.995593, -1.669105, 30.887049 
74220, -9.631315, 3.519068, 39.358013 
74280, -10.158453, 1.657797, 33.121769 
74340, -10.062853, -0.736427, 25.189558 
74400, -9.750785, -2.810736, 34.757610 
74460, -10.210863, 3.117267, 24.772415 
74520, -11.607750, 0.888940, 36.453911 
74580, -10.702316, -1.589529, 25.487072 
74640, -10.805490, -2.961894, 37.389530 
74700, -11.317339, 2.900251, 25.354197 
74760, -13.020986, 0.604343, 38.535789 
74820, -11.369192, -2.610225, 26.478039 
74880, -12.154146, 4.855025, 38.508549 
74940, -12.676082, 2.364979, 27.088184 
75000, -13.887376, -0.227408, 39.372677 
75060, -12.177821, -3.501579, 28.222692 
75120, -13.126257, 5.126291, 39.086990 
75180, -14.302114, 1.660605, 30.373800 
75240, -14.523742, -1.324077, 39.439484 
75300, -13.170952, -4.347968, 32.474720 
75360, -13.940589, 3.670213, 24.385780 
75420, -16.160954, 0.490572, 34.728985 
75480, -13.965821, -3.339447, 24.878067 
75540, -14.767981, 5.992321, 35.845360 
75600, -15.413908, 3.147041, 24.705629 
75660, -17.158619, -0.150253, 37.508099 
75720, -14.694104, -4.408021, 25.029772 
75780, -15.768885, 6.660770, 37.820881 
75840, -17.147102, 2.245817, 25.845434 
75900, -17.747587, -1.687723, 38.560848 
75960, -15.444563, -5.614102, 26.508814 
76020, -17.112228, 6.492567, 38.676666 
76080, -18.999559, 1.503355, 28.032343 
76140, -18.299698, -3.528895, 39.208511 
76200, -16.853878, 7.841274, 29.472128 
76260, -18.788853, 5.829917, 39.217640 
76320, -20.209551, -0.180578, 32.433678 
76380, -17.441914, -5.449896, 24.065205 
76440, -18.473488, 7.882737, 33.921398 
76500, -20.373938, 2.579452, 24.304842 
76560, -20.980471, -2.281000, 35.770607 
76620, -18.255125, -6.444679, 24.154293 
76680, -19.937483, 8.122297, 36.725403 
76740, -22.407576, 1.611981, 24.755205 
76800, -21.585844, -4.324408, 37.698483 
76860, -18.904982, 9.874752, 24.785984 
76920, -22.120539, 7.014906, 38.450611 
76980, -23.177530, -0.126631, 26.030727 
77040, -22.053936, -6.712445, 38.583183 
77100, -19.964333, 10.674393, 27.052853 
77160, -24.513556, 5.264832, 38.644173 
77220, -23.976912, -2.145598, 29.302834 
77280, -22.583426, -8.811276, 38.852234 
77340, -22.277483, 9.740147, 31.555082 
77400, -25.897558, 1.761725, 23.423309 
77460, -24.405146, -5.687595, 33.720764 
77520, -21.472061, 11.427000, 23.230505 
77580, -25.267105, 7.683630, 35.587872 
77640, -26.465096, -0.146043, 23.650331 
77700, -25.169970, -7.732305, 36.481441 
77760, -22.499941, 12.000675, 23.818205 
77820, -27.956844, 6.263157, 37.320953 
77880, -26.703526, -2.770025, 24.403790 
77940, -25.692322, -10.383110, 37.897682 
78000, -24.348825, 11.407344, 25.242182 
78060, -30.835716, 4.193153, 38.169144 
78120, -27.073593, -5.801233, 26.753714 
78180, -26.622957, -11.634944, 38.357239 
78240, -27.443443, 9.359888, 28.989305 
78300, -33.867027, 2.035488, 38.457012 
78360, -27.676628, -9.437531, 31.327070 
78420, -25.410503, 13.443044, 22.808283 
78480, -31.436197, 6.720377, 33.452843 
78540, -30.037472, -3.572334, 23.266443 
78600, -28.551022, -12.155685, 35.018627 
78660, -26.872385, 13.023079, 23.107670 
78720, -34.420372, 4.865165, 36.411911 
78780, -29.829773, -6.876858, 23.396507 
78840, -29.717691, -13.093180, 36.803768 
78900, -29.274826, 10.797050, 24.015572 
78960, -37.107838, 2.258478, 37.445938 
79020, -29.348291, -10.513652, 24.933594 
