runn, x, y, z 
25116, 0.872461, 0.523967, 0.000000 
25117, 0.885055, 0.524723, 1.631162 
25118, 0.918160, 0.541390, 3.387772 
25119, 0.957474, 0.552761, 5.164458 
25120, 1.004477, 0.570701, 7.015382 
25121, 0.889144, 0.488056, 8.935252 
25122, 0.959791, 0.514614, 10.971928 
25123, 3.933404, 2.201091, 12.682187 
25124, 5.185400, 2.117239, 14.051686 
25125, 5.520725, 2.223583, 15.155701 
25126, 5.708564, 2.075212, 16.049574 
25127, 5.853305, 1.975130, 16.816805 
25128, 5.782332, 1.822604, 17.448425 
25129, 5.886621, 1.715643, 17.958107 
25130, 5.978919, 1.576478, 18.341545 
25131, 0.884512, 0.557184, 0.000000 
25132, 0.888672, 0.542609, 1.620289 
25133, 0.920136, 0.558905, 3.365190 
25134, 0.957723, 0.570214, 5.130034 
25135, 1.002625, 0.588554, 6.968621 
25136, 0.886606, 0.503963, 8.875693 
25137, 0.954749, 0.531460, 10.898793 
25138, 3.688730, 2.190438, 12.597652 
25139, 5.112613, 2.275784, 13.958023 
25140, 5.445289, 2.394971, 15.054678 
25141, 5.637376, 2.258610, 15.942594 
25142, 5.786366, 2.158331, 16.704712 
25143, 5.718522, 2.006781, 17.332121 
25144, 5.825652, 1.903364, 17.838406 
25145, 5.920455, 1.772445, 18.219288 
25146, 0.901804, 0.612440, 0.000000 
25147, 0.893847, 0.571903, 1.599356 
25148, 0.922689, 0.587520, 3.321715 
25149, 0.957495, 0.598647, 5.063758 
25150, 0.998983, 0.617539, 6.878592 
25151, 0.881917, 0.529743, 8.761027 
25152, 0.945977, 0.558624, 10.757990 
25153, 3.236030, 2.108070, 12.434901 
25154, 4.984754, 2.526766, 13.777697 
25155, 5.312143, 2.666565, 14.860185 
25156, 5.509885, 2.549844, 15.736629 
25157, 5.666075, 2.449624, 16.488901 
25158, 5.603009, 2.299731, 17.108204 
25159, 5.714480, 2.202193, 17.607948 
25160, 5.812412, 2.084605, 17.983910 
25161, 0.841905, 0.634910, 0.000000 
25162, 0.862135, 0.589109, 1.594426 
25163, 0.891124, 0.606300, 3.311476 
25164, 0.925746, 0.619899, 5.048149 
25165, 0.966361, 0.642231, 6.857389 
25166, 0.852050, 0.552782, 8.734021 
25167, 0.914698, 0.586430, 10.724829 
25168, 3.059173, 2.264109, 12.396571 
25169, 4.597378, 2.765897, 13.735228 
25170, 5.088898, 3.039567, 14.814379 
25171, 5.294086, 2.952816, 15.688121 
25172, 5.463037, 2.854693, 16.438074 
25173, 5.407731, 2.708136, 17.055470 
25174, 5.526094, 2.620001, 17.553673 
25175, 5.627476, 2.521909, 17.928474 
25176, 0.788354, 0.685021, 0.000000 
25177, 0.835510, 0.624284, 1.578786 
25178, 0.866895, 0.645370, 3.278992 
25179, 0.903498, 0.663958, 4.998629 
25180, 0.945077, 0.692707, 6.790121 
25181, 0.837307, 0.602623, 8.648345 
25182, 0.900330, 0.644591, 10.619623 
25183, 2.680782, 2.354132, 12.274967 
25184, 4.302343, 3.222323, 13.600492 
25185, 4.769340, 3.556077, 14.669057 
25186, 4.981242, 3.511555, 15.534228 
25187, 5.170635, 3.418321, 16.276825 
25188, 5.126072, 3.276790, 16.888163 
25189, 5.253998, 3.202134, 17.381479 
25190, 5.184603, 3.029438, 17.752605 
25191, 0.733227, 0.742687, 0.000000 
25192, 0.804389, 0.661662, 1.579937 
25193, 0.833686, 0.683704, 3.281382 
25194, 0.867549, 0.704421, 5.002274 
25195, 0.904941, 0.736634, 6.795072 
25196, 0.799196, 0.642563, 8.654650 
25197, 0.856639, 0.689784, 10.627365 
25198, 2.399144, 2.534139, 12.283916 
25199, 3.894849, 3.661906, 13.610407 
25200, 4.323781, 4.056923, 14.679751 
25201, 4.532537, 4.058218, 15.545554 
25202, 4.742499, 3.973659, 16.288691 
25203, 4.705856, 3.837625, 16.900476 
25204, 4.840564, 3.778879, 17.394152 
25205, 4.939283, 3.735174, 17.765549 
25206, 0.674026, 0.801359, 0.000000 
25207, 0.771608, 0.700293, 1.572011 
25208, 0.798564, 0.723037, 3.264921 
25209, 0.829306, 0.745592, 4.977179 
25210, 0.861939, 0.780892, 6.760983 
25211, 0.758304, 0.682453, 8.611233 
25212, 0.809384, 0.734438, 10.574051 
25213, 2.095418, 2.688932, 12.222291 
25214, 3.423478, 4.066830, 13.542129 
25215, 3.804310, 4.520812, 14.606108 
25216, 4.001713, 4.568021, 15.467566 
25217, 4.233388, 4.496384, 16.206976 
25218, 4.203158, 4.365811, 16.815691 
25219, 4.342824, 4.324199, 17.306890 
25220, 4.431510, 4.307270, 17.676424 
25221, 0.606917, 0.895425, 0.000000 
25222, 0.735763, 0.757939, 1.579208 
25223, 0.758701, 0.780310, 3.279870 
25224, 0.784265, 0.803824, 4.999968 
25225, 0.809323, 0.841488, 6.791939 
25226, 0.707645, 0.736150, 8.650661 
25227, 0.748806, 0.792271, 10.622467 
25228, 1.795067, 3.014908, 12.278254 
25229, 2.751970, 4.506813, 13.604134 
25230, 3.058116, 5.027566, 14.672984 
25231, 3.228914, 5.129126, 15.538388 
25232, 3.487953, 5.080030, 16.281183 
25233, 3.463370, 4.955254, 16.892685 
25234, 3.606044, 4.936038, 17.386133 
25235, 3.674467, 4.948545, 17.757359 
25236, 0.529857, 0.972373, 0.000000 
25237, 0.699350, 0.811170, 1.595846 
25238, 0.721965, 0.836636, 3.314425 
25239, 0.746011, 0.864399, 5.052644 
25240, 0.767165, 0.907642, 6.863495 
25241, 0.671220, 0.799928, 8.741799 
25242, 0.706331, 0.863520, 10.734379 
25243, 1.570585, 3.513242, 12.407610 
25244, 2.169839, 5.036998, 13.747458 
25245, 2.318015, 5.428093, 14.827570 
25246, 2.455001, 5.575604, 15.702091 
25247, 2.740515, 5.555178, 16.452711 
25248, 2.720343, 5.435846, 17.070658 
25249, 2.864188, 5.438321, 17.569304 
25250, 2.908555, 5.472647, 17.944441 
25251, 0.537849, 1.186262, 0.000000 
25252, 0.716810, 0.910757, 1.597313 
25253, 0.731663, 0.929273, 3.317472 
25254, 0.623251, 0.793543, 5.057289 
25255, 0.634870, 0.829767, 6.869805 
25256, 0.656636, 0.869156, 8.749835 
25257, 0.678049, 0.927259, 10.744246 
25258, 1.240414, 3.596931, 12.419017 
25259, 1.617816, 5.236256, 13.760097 
25260, 1.718072, 5.645720, 14.841202 
25261, 1.821121, 5.817047, 15.716526 
25262, 2.122034, 5.818276, 16.467836 
25263, 2.102310, 5.698170, 17.086349 
25264, 2.243025, 5.714059, 17.585455 
25265, 2.264979, 5.757905, 17.960936 
25266, 0.526023, 1.388846, 0.000000 
25267, 0.611831, 0.842748, 1.590984 
25268, 0.620107, 0.854231, 3.304327 
25269, 0.627864, 0.869112, 5.037252 
25270, 0.629709, 0.899278, 6.842586 
25271, 0.641535, 0.932528, 8.715167 
25272, 0.651008, 0.984394, 10.701677 
25273, 0.952115, 3.646865, 12.369811 
25274, 1.083034, 5.166327, 13.705578 
25275, 1.180833, 5.782395, 14.782399 
25276, 1.251580, 5.969427, 15.654256 
25277, 1.564664, 5.991834, 16.402590 
25278, 1.545337, 5.869746, 17.018652 
25279, 1.682333, 5.896603, 17.515779 
25280, 1.683708, 5.944810, 17.889772 
25281, 0.508356, 1.567737, 0.000000 
25282, 0.628119, 0.921351, 1.577408 
25283, 0.631140, 0.926227, 3.276130 
25284, 0.632765, 0.934893, 4.994266 
25285, 0.626620, 0.959127, 6.784194 
25286, 0.630422, 0.986259, 8.640796 
25287, 0.526055, 0.861087, 10.610353 
25288, 0.693707, 3.477172, 12.264253 
25289, 0.714569, 5.231561, 13.588620 
25290, 0.764376, 5.854559, 14.656253 
25291, 0.809112, 6.049880, 15.520669 
25292, 1.130534, 6.089549, 16.262617 
25293, 1.111632, 5.964877, 16.873423 
25294, 1.245207, 5.999407, 17.366308 
25295, 1.230522, 6.048271, 17.737110 
25296, 0.503181, 1.711545, 0.000000 
25297, 0.646329, 0.983287, 1.565906 
25298, 0.645408, 0.982580, 3.252242 
25299, 0.642501, 0.985889, 4.957850 
25300, 0.630549, 1.004907, 6.734727 
25301, 0.524185, 0.855995, 8.577792 
25302, 0.521083, 0.893514, 10.532989 
25303, 0.543896, 3.294636, 12.174828 
25304, 0.503313, 5.262272, 13.489539 
25305, 0.525400, 5.886293, 14.549387 
25306, 0.554863, 6.084058, 15.407500 
25307, 0.880670, 6.133277, 16.144039 
25308, 0.862043, 6.006153, 16.750391 
25309, 0.993430, 6.044318, 17.239681 
25310, 0.969506, 6.092169, 17.607780 
25311, 1.544749, 1.120310, 0.000068 
25312, 1.552212, 1.135373, 1.620971 
25313, 1.576603, 1.170038, 3.366534 
25314, 1.606908, 1.201170, 5.132046 
25315, 1.644432, 1.239077, 6.971329 
25316, 1.539567, 1.159082, 8.879125 
25317, 1.583730, 1.226527, 10.902990 
25318, 4.754097, 2.392133, 12.602494 
