RefOffset, Offset of the evt, Deltat
160.662125, 155.399002, 5
160.662125, 155.236649, 5
160.662125, 154.174911, 6
160.662125, 156.509140, 4
160.662125, 155.542694, 5
160.662125, 156.152481, 4
160.662125, 154.903320, 5
160.662125, 155.165955, 5
160.662125, 154.850769, 5
160.662125, 153.535294, 7
160.662125, 155.208130, 5
160.662125, 154.603699, 6
160.662125, 155.073074, 5
160.662125, 154.074249, 6
160.662125, 154.686996, 5
160.662125, 155.061066, 5
160.662125, 154.523743, 6
160.662125, 155.047302, 5
160.662125, 154.675125, 5
160.662125, 156.775909, 3
160.662125, 155.134232, 5
160.662125, 153.981522, 6
160.662125, 155.094009, 5
160.662125, 156.502701, 4
160.662125, 156.535217, 4
160.662125, 155.979065, 4
160.662125, 154.989258, 5
160.662125, 154.973190, 5
160.662125, 154.224640, 6
160.662125, 155.294205, 5
160.662125, 161.568130, 0
160.662125, 155.650482, 5
160.662125, 154.918640, 5
160.662125, 155.271759, 5
160.662125, 153.882385, 6
160.662125, 154.625198, 6
160.662125, 153.922806, 6
160.662125, 156.294647, 4
160.662125, 154.576828, 6
160.662125, 155.561554, 5
160.662125, 155.624893, 5
