run, evt, int, seg, x, y, z, e
15, 1, 1, 15, 12.30, -1.76, 34.38, -322.83
15, 2, 1, 15, 18.16, -2.50, 30.20, -343.13
15, 3, 1, 15, 188.48, -21.43, 68.97,  -71.53
15, 4, 1, 15, 30.60, -4.10, 27.19, -258.68
15, 5, 1, 15, 10.89, -1.53, 33.98, -191.33
15, 6, 1, 15,  6.67, -2.84, 33.94, -100.41
15, 7, 1, 15, -56.04, 38.95, 41.66,   29.75
15, 8, 1, 15, 28.97, -3.89, 26.57, -288.14
15, 9, 1, 15, 14.37, -2.47, 32.95, -183.49
15, 10, 1, 15,  5.93, -1.63, 45.52,  -81.24
15, 11, 1, 15, 27.40, -9.42, 23.44, -206.18
15, 12, 1, 15,  9.86, -1.87, 32.47, -199.21
15, 13, 1, 15, 11.03, -1.93, 31.95, -363.96
15, 14, 1, 15, 12.07, -2.14, 30.86, -290.01
15, 15, 1, 15, 282.43, -16.54, 78.52,  -20.52
15, 16, 1, 15, -64.94, 41.57, 41.10,   17.48
15, 17, 1, 15, 20.08, -3.17, 35.24, -166.49
15, 18, 1, 15, -48.50, 39.63, 39.22,    7.89
15, 19, 1, 15, 11.53, -2.34, 37.49, -282.49
15, 20, 1, 15, 25.08, -6.34, 58.18, -232.00
15, 21, 1, 15, 14.73, -19.33, 25.62, -241.55
15, 22, 1, 15, 122.69, -16.23, 66.91,  -69.24
15, 23, 1, 15,  6.21, -1.31, 46.02,  -56.46
15, 24, 1, 15, 12.51, -1.36, 32.20, -218.89
15, 25, 1, 15, 22.14, -7.05, 40.65, -214.48
15, 26, 1, 15,  6.42, -2.83, 33.40, -111.08
15, 27, 1, 15, 19.74, -2.83, 28.50, -374.19
15, 28, 1, 15, 30.43, -5.10, 28.98, -255.31
15, 29, 1, 15, 10.57, -1.66, 32.21, -200.42
15, 30, 1, 15, 19.74, -2.81, 26.29, -215.53
15, 31, 1, 15, 18.16, -4.22, 31.42, -314.25
15, 32, 1, 15,  9.40, -1.84, 32.11, -258.83
15, 33, 1, 15,  5.68, -1.66, 45.63,  -91.97
15, 34, 1, 15, 58.39, -3.98, 32.03, -156.26
15, 35, 1, 15, 17.77, -3.89, 49.87, -311.17
15, 36, 1, 15, 12.63, -2.12, 42.02, -172.08
15, 37, 1, 15, 12.63, -1.71, 34.86, -293.14
15, 38, 1, 15, -55.49, 37.71, 44.97,   29.57
15, 39, 1, 15, 10.30, -1.79, 34.60, -184.13
15, 40, 1, 15, -47.69, 40.20, 39.15,    3.93
15, 41, 1, 15, 13.79, -1.76, 34.15, -202.68
15, 42, 1, 15, 31.79, -2.85, 28.32, -241.66
15, 43, 1, 15, -10.70,  7.28, 60.85,  -39.07
15, 44, 1, 15, 73.42, -10.39, 76.41, -117.42
15, 45, 1, 15, 19.92, -2.88, 25.71, -360.40
15, 46, 1, 15, 12.79, -2.19, 31.35, -202.07
15, 47, 1, 15, 16.74, -4.05, 27.41, -212.15
15, 48, 1, 15, 23.73, -5.34, 31.08, -244.09
15, 49, 1, 15, 26.95, -4.78, 22.44, -252.58
15, 50, 1, 15, -9.21,  6.47, 52.13,  -56.18
15, 51, 1, 15, 18.81, -2.56, 27.70, -387.80
15, 52, 1, 15, 19.07, -3.14, 31.94, -310.61
15, 53, 1, 15,  9.06, -1.38, 37.09, -348.00
15, 54, 1, 15,  9.80, -1.88, 36.45, -354.91
15, 55, 1, 15, -9.89,  7.30, 60.37,  -69.64
15, 56, 1, 15, 27.11, -2.43, 28.30, -347.23
15, 57, 1, 15, -55.64, 40.52, 40.82,   26.04
15, 58, 1, 15,  6.95, -1.68, 33.87, -121.64
15, 59, 1, 15, 17.03, -3.05, 29.48, -290.73
15, 60, 1, 15, 19.90, -2.93, 29.88, -247.26
15, 61, 1, 15, -59.41, 29.04, 41.15,   27.64
15, 62, 1, 15,  6.23, -1.06, 45.26,  -80.72
15, 63, 1, 15, 22.77, -3.25, 40.50, -330.97
15, 64, 1, 15, 10.61, -1.62, 31.65, -257.91
15, 65, 1, 15, 27.08, -3.41, 23.03, -245.07
15, 66, 1, 15, 12.95, -2.01, 29.97, -303.14
15, 67, 1, 15, 20.95, -3.14, 27.77, -308.73
15, 68, 1, 15, 10.34, -1.85, 30.50, -192.46
15, 69, 1, 15, 12.35, -2.34, 44.41, -160.99
15, 70, 1, 15,  7.17, -0.27, 36.82, -155.42
15, 71, 1, 15, -52.53,  8.22, 11.00,   19.83
15, 72, 1, 15, -59.99, 34.64, 40.40,   26.33
15, 73, 1, 15, 13.84, -2.73, 45.76, -268.76
15, 74, 1, 15, 350.17, -42.49, 101.12,  -36.96
15, 75, 1, 15, 27.17, -4.37, 28.91, -290.56
15, 76, 1, 15, 44.11, -4.72, 23.28, -181.30
15, 77, 1, 15, 11.85, -1.41, 33.67, -227.25
15, 78, 1, 15,  6.06, -1.17, 45.42, -104.47
15, 79, 1, 15, 32.23, -3.85, 26.39, -294.89
15, 80, 1, 15, 13.49, -2.36, 31.37, -261.76
15, 81, 1, 15, 30.34, -3.63, 23.31, -321.62
15, 82, 1, 15, 39.65, -6.85,  9.53, -209.42
15, 83, 1, 15, -48.13, 40.70, 31.67,    9.31
15, 84, 1, 15, -49.03, 39.51, 32.44,    9.54
15, 85, 1, 15,  5.45, -1.30, 46.04,  -87.55
15, 86, 1, 15,  8.61, -0.47, 40.09, -386.17
15, 87, 1, 15, -49.86, 40.42, 38.47,   10.07
15, 88, 1, 15, 17.73, -3.02, 49.05, -217.96
15, 89, 1, 15,  7.39, -0.17, 36.28, -218.54
15, 90, 1, 15,  6.34, -1.14, 34.88, -164.13
15, 91, 1, 15, 35.64, -5.78, 29.60, -229.30
15, 92, 1, 15, 39.03, -4.82, 31.17, -259.84
15, 93, 1, 15,  9.49, -1.19, 34.03, -243.54
15, 94, 1, 15,  6.16, -1.22, 44.81,  -95.33
15, 95, 1, 15, -48.76, 40.44, 37.27,    9.74
15, 96, 1, 15, 34.21, -6.34, 19.07, -243.43
15, 97, 1, 15, 19.55, -2.16, 28.20, -276.52
15, 98, 1, 15, 13.20, -1.85, 30.41, -212.94
15, 99, 1, 15, -56.18,  8.81,  8.31,   16.26
15, 100, 1, 15, 12.66, -1.93, 29.85, -178.40
