runnum, segnum, evtnum, avex, avey, avez, aveE
111113, 15, 3, -17.947950, -2.663501, 27.957719, 21.909131
111114, 15, 3, -27.027109, -5.561376, 24.672673, 20.450584
111114, 15, 3, -26.400431, -5.875810, 26.791417, 26.264107
111125, 15, 3, -22.217951, -2.297128, 28.911942, 21.844642
111126, 15, 3, -23.694766, -1.546376, 24.824388, 20.423181
111126, 15, 3, -22.532698, -1.935802, 29.921136, 26.253266
111142, 15, 3, -22.764559, 1.491905, 30.834838, 26.142331
111143, 15, 3, -26.366703, 4.128321, 24.419389, 21.930058
111143, 15, 3, -25.882149, 2.733729, 26.852971, 21.917264
111148, 15, 3, -23.166781, -1.110466, 24.724835, 21.904062
111148, 15, 3, -22.393432, -0.846171, 27.053263, 21.861708
111149, 15, 3, -23.038486, -2.226591, 28.326341, 21.850067
111150, 15, 3, -23.576742, 0.480730, 29.967826, 21.879088
111160, 15, 3, -17.653621, -2.078960, 25.114831, 21.917441
111160, 15, 3, -17.683170, -1.672360, 27.607875, 21.890021
111161, 15, 3, -17.632515, -1.650209, 31.104943, 21.838446
113114, 15, 3, -17.419734, -3.812964, 25.068519, 21.935215
113114, 15, 3, -16.944012, -3.968025, 27.130162, 21.919221
113125, 15, 3, -13.024903, -2.422816, 30.088170, 21.861261
113126, 15, 3, -13.848922, -0.077410, 24.875031, 21.883013
113126, 15, 3, -12.636162, -0.840954, 28.133126, 21.877309
113142, 15, 3, -12.964328, 3.059518, 29.650060, 21.886304
113143, 15, 3, -17.649328, 3.948232, 24.532207, 20.490940
113143, 15, 3, -16.309872, 2.448975, 27.534865, 21.951747
113148, 15, 3, -13.343149, 1.211480, 25.467486, 20.450461
113148, 15, 3, -12.801823, 1.701454, 27.666402, 21.873024
113149, 15, 3, -12.897517, 0.635558, 29.133234, 21.862643
113150, 15, 3, -13.653700, 1.134715, 31.417158, 21.897472
113160, 15, 3, -8.615611, 0.572918, 25.543965, 26.288678
113160, 15, 3, -8.317327, 0.617200, 28.227047, 26.280970
113161, 15, 3, -8.381776, 0.559060, 31.597715, 26.206588
114114, 9, 3, -26.015659, -6.764763, 23.722904, 20.462930
114125, 9, 3, -22.119145, -4.964670, 25.708078, 20.413480
114126, 9, 3, -22.818197, -3.240270, 20.184632, 26.132970
114126, 9, 3, -22.095686, -1.979825, 24.335421, 21.886549
114142, 9, 3, -21.975534, -2.641192, 26.296290, 21.896827
114143, 9, 3, -26.440733, 2.567977, 21.837282, 26.364485
114143, 9, 3, -25.515002, 1.391586, 24.533962, 20.484861
114148, 9, 3, -23.062620, -3.144047, 21.109419, 21.919334
114148, 9, 3, -21.913960, -2.371133, 23.980071, 21.883894
114149, 9, 3, -22.318991, -3.493412, 25.319448, 21.878667
114150, 9, 3, -22.669468, -3.004945, 28.022014, 21.907564
114160, 9, 3, -17.089468, -3.379022, 22.174921, 21.931688
114160, 9, 3, -17.150698, -3.525046, 24.635043, 21.919947
114161, 9, 3, -17.083084, -3.673084, 27.823330, 21.859630
114125, 15, 3, -21.014466, -6.901496, 28.224409, 26.229347
114126, 15, 3, -22.320409, -3.323178, 23.568433, 21.887676
114126, 15, 3, -21.455901, -2.436994, 26.395478, 21.871592
114142, 15, 3, -21.069544, 2.389638, 28.041754, 26.256910
114143, 15, 3, -25.538653, 0.200949, 24.061075, 20.478790
114143, 15, 3, -25.088188, -0.157383, 26.150692, 26.315013
114148, 15, 3, -22.065363, -2.416494, 23.523427, 21.909832
114148, 15, 3, -21.605333, 0.069587, 27.795615, 26.129072
114149, 15, 3, -22.096085, -1.049199, 29.131707, 21.862688
114150, 15, 3, -22.446488, -0.582691, 31.515875, 26.185542
114160, 15, 3, -16.580294, -3.656049, 24.081542, 21.928599
114160, 15, 3, -16.679943, -1.447704, 26.584147, 21.889047
114161, 15, 3, -16.792744, -3.821745, 29.979834, 21.850416
125126, 15, 3, -17.809356, -2.839580, 26.120571, 21.821575
125126, 15, 3, -16.876200, -4.153817, 29.243080, 26.176953
125142, 15, 3, -16.945790, -0.868385, 31.417919, 26.192618
125143, 15, 3, -20.866711, 2.884326, 26.110605, 21.889035
125143, 15, 3, -20.334792, 2.359457, 28.669468, 21.878229
125148, 15, 3, -17.777690, -1.661839, 26.446775, 21.847595
125148, 15, 3, -16.958715, -1.596672, 28.946723, 26.173465
125149, 15, 3, -17.289495, -2.277063, 30.486220, 26.171616
125150, 15, 3, -17.672160, -2.112361, 33.049962, 26.208617
125160, 15, 3, -13.793964, -2.079813, 27.093115, 20.404366
125160, 15, 3, -12.723584, -2.326511, 29.544935, 21.853680
125161, 15, 3, -12.723831, -2.347961, 32.932870, 21.778210
126126, 9, 3, -18.223873, -1.812864, 23.280666, 20.392411
126142, 9, 3, -17.834242, 1.853483, 25.435715, 21.843770
126143, 9, 3, -22.804995, 2.954559, 20.632373, 21.904435
126143, 9, 3, -21.358041, 4.323014, 23.750876, 21.911099
126148, 9, 3, -18.712834, 0.723572, 21.397972, 26.254259
126148, 9, 3, -18.795485, 0.528294, 25.245017, 20.389156
126149, 9, 3, -18.938657, 0.075796, 26.629012, 20.388437
126150, 9, 3, -18.831075, 0.143371, 28.331731, 20.410335
126160, 9, 3, -13.572118, -0.034310, 21.998424, 21.886978
126160, 9, 3, -14.206137, -0.525003, 23.569279, 20.419834
126161, 9, 3, -13.581028, -0.103275, 27.682853, 21.808170
126142, 15, 3, -17.069590, 1.452424, 29.274850, 26.195862
126143, 15, 3, -21.130249, 4.211108, 24.226013, 21.902687
126143, 15, 3, -21.547709, 1.222836, 28.943073, 21.906034
126148, 15, 3, -18.449074, -0.166264, 25.750140, 20.416744
126148, 15, 3, -17.184317, -0.370243, 27.090076, 26.184809
126149, 15, 3, -17.654710, -1.376361, 28.561811, 26.183507
126150, 15, 3, -17.878575, -0.686535, 30.818001, 26.217150
126160, 15, 3, -13.793836, -0.899238, 25.753739, 20.419280
126160, 15, 3, -13.019458, -1.108658, 27.595132, 26.243753
126161, 15, 3, -12.888772, -0.858516, 30.877444, 26.160970
142143, 15, 3, -21.618035, 5.015354, 24.887581, 20.452510
142143, 15, 3, -21.521018, 4.741794, 28.021714, 21.908369
142148, 15, 3, -18.064598, 3.726788, 26.379806, 20.417394
142148, 15, 3, -16.946008, 4.015860, 28.697376, 26.190692
142149, 15, 3, -17.462597, 2.888782, 30.371391, 26.171267
142150, 15, 3, -17.709868, 3.509342, 32.805613, 26.214065
142160, 15, 3, -13.608760, 2.322682, 26.862592, 20.425709
142160, 15, 3, -12.705211, 3.285297, 29.362381, 26.258750
142161, 15, 3, -12.746449, 2.955497, 32.713512, 21.803870
143143, 9, 3, -24.349755, 9.954380, 24.024260, 21.951874
143148, 9, 3, -22.315731, 6.489898, 21.091743, 21.934203
143148, 9, 3, -21.455292, 5.656538, 23.851021, 21.901232
143149, 9, 3, -21.520229, 5.709733, 25.195441, 21.893965
143150, 9, 3, -21.530101, 5.656279, 28.243088, 20.458749
143160, 9, 3, -16.564379, 2.996096, 21.914258, 21.954884
143160, 9, 3, -16.339312, 5.704498, 24.470640, 21.935537
143161, 9, 3, -16.295368, 5.690766, 27.675364, 21.876369
143148, 15, 3, -21.535563, 4.899108, 24.227981, 21.937358
143148, 15, 3, -20.684247, 5.944510, 26.547459, 21.896733
143149, 15, 3, -21.529316, 2.839987, 28.305797, 26.272466
143150, 15, 3, -21.506346, 4.796696, 29.985714, 26.306647
143160, 15, 3, -15.904416, 5.389530, 24.313609, 21.951250
143160, 15, 3, -15.855925, 5.094165, 26.901386, 21.929211
143161, 15, 3, -15.864122, 5.142334, 30.440338, 21.868420
148148, 9, 3, -17.636618, 2.307184, 24.332198, 20.401572
148149, 9, 3, -18.408597, 1.090220, 25.903613, 21.862058
148150, 9, 3, -19.079816, 2.393001, 28.048277, 20.430281
148160, 9, 3, -13.392208, 1.287041, 22.386753, 21.906835
148160, 9, 3, -14.285479, 1.347998, 23.688131, 20.442756
148161, 9, 3, -13.492424, 1.308323, 28.049372, 21.828887
148149, 15, 3, -17.463662, 1.931630, 28.199551, 26.177671
148150, 15, 3, -17.725113, 2.418797, 30.438583, 26.214249
148160, 15, 3, -12.843186, 1.237774, 24.793176, 21.877358
148160, 15, 3, -12.626867, 1.825597, 27.144475, 21.863630
148161, 15, 3, -12.761238, 1.274701, 30.519952, 26.157017
149150, 15, 3, -18.308077, 1.329681, 32.074568, 26.199989
149160, 15, 3, -13.291558, 0.653133, 26.281997, 21.864399
149160, 15, 3, -13.223001, 1.127863, 28.772765, 26.232370
149161, 15, 3, -13.318004, 1.092769, 32.018083, 26.149518
150160, 15, 3, -14.260782, 1.105214, 29.467479, 20.435767
150160, 15, 3, -13.551883, 1.583371, 31.038203, 26.262926
150161, 15, 3, -13.750872, 1.322517, 34.584609, 26.169369
160160, 9, 3, -8.430022, 0.678280, 25.250251, 26.274928
160161, 9, 3, -8.709620, 0.582691, 29.298914, 20.387504
160161, 15, 3, -8.356217, 0.523226, 30.937297, 26.204790
