run, evt, int, seg, x, y, z, e
111113, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111113, 2, 1, 15, -9.58,  0.96, 29.32,    2.77
111113, 3, 1, 15, -19.80,  4.96, 32.13,    2.71
111114, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111114, 2, 1, 9, -26.54, -7.66, 20.37,    2.83
111114, 3, 1, 15, -4.46, -0.98, 16.02,    0.71
111114, 3, 2, 15, -12.45,  3.39, 30.19,    2.34
111114, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111114, 2, 1, 15, -27.10,  0.47, 26.79,    2.80
111114, 3, 1, 15, -27.27, -1.84, 27.39,    2.80
111125, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111125, 2, 1, 15, -17.14, -7.41, 31.77,    2.77
111125, 3, 1, 15, -23.04, -3.52, 30.05,    2.78
111126, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111126, 2, 1, 9, -19.34, 14.34, 20.97,    2.78
111126, 3, 1, 15, -35.66,  0.26, 11.78,    0.54
111126, 3, 2, 15, -7.37,  0.17, 24.97,    2.44
111126, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111126, 2, 1, 15, -17.36, -0.08, 27.95,    2.81
111126, 3, 1, 15, -24.22, -5.13, 28.10,    2.74
111142, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111142, 2, 1, 15, -17.97, 24.29, 32.67,    2.76
111142, 3, 1, 15, -23.56,  0.78, 31.06,    2.78
111143, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111143, 2, 1, 9, -26.47, 18.99, 18.80,    2.78
111143, 3, 1, 15, -5.90,  4.63, 23.46,    1.58
111143, 3, 2, 15, -7.43, -0.47, 29.47,    3.74
111143, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111143, 2, 1, 15, -23.89,  9.61, 26.13,    2.80
111143, 3, 1, 15, -27.30, -5.20, 30.27,    2.79
111148, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111148, 2, 1, 9, -19.34, 11.10, 21.84,    2.78
111148, 3, 1, 15, -5.96, -5.72, 13.98,   -2.48
111148, 3, 2, 15, -7.96, -1.83, 24.61,    7.47
111148, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111148, 2, 1, 15, -17.68, -0.90, 27.21,    2.79
111148, 3, 1, 15, -22.64,  1.52, 32.20,    2.79
111149, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111149, 2, 1, 15, -17.89,  0.41, 29.97,    2.78
111149, 3, 1, 15, -24.75, -1.67, 32.08,    2.75
111150, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111150, 2, 1, 15, -19.26, -0.36, 34.15,    2.78
111150, 3, 1, 15, -24.75, -2.89, 31.54,    2.77
111160, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111160, 2, 1, 9, -9.00,  0.71, 22.82,    2.78
111160, 3, 1, 15, -10.97, -0.64, 45.91,    1.13
111160, 3, 2, 15, -15.80,  0.58, 24.42,    1.90
111160, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111160, 2, 1, 15, -8.26,  0.74, 27.98,    2.77
111160, 3, 1, 15, -19.42,  7.88, 28.17,    2.60
111161, 1, 1, 15, -27.56, 36.50, 28.46,    2.78
111161, 2, 1, 15, -9.01,  0.84, 34.30,    2.76
111161, 3, 1, 15, -22.73, 19.03, 30.52,    2.61
113114, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113114, 2, 1, 9, -26.54, -7.66, 20.37,    2.83
113114, 3, 1, 9, -21.10, 11.25, 19.54,    1.48
113114, 3, 2, 9, -4.24, -0.34, 34.02,    1.76
113114, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113114, 2, 1, 15, -27.10,  0.47, 26.79,    2.80
113114, 3, 1, 15, -22.40, 10.32, 28.57,    2.64
113125, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113125, 2, 1, 15, -17.14, -7.41, 31.77,    2.77
113125, 3, 1, 15, -14.66,  0.00, 30.99,    2.73
113126, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113126, 2, 1, 9, -19.34, 14.34, 20.97,    2.78
113126, 3, 1, 15,  1.15, -1.98, 24.93,    2.87
113126, 3, 2, 15, -7.54,  0.15, 24.84,    2.22
113126, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113126, 2, 1, 15, -17.36, -0.08, 27.95,    2.81
113126, 3, 1, 15, -14.07,  0.03, 29.99,    2.75
113142, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113142, 2, 1, 15, -17.97, 24.29, 32.67,    2.76
113142, 3, 1, 15, -15.04,  0.30, 31.07,    2.72
113143, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113143, 2, 1, 9, -26.47, 18.99, 18.80,    2.78
113143, 3, 1, 9, -15.94, -1.24, 26.47,    1.43
113143, 3, 2, 9, -5.97, -0.56, 27.08,    1.77
113143, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113143, 2, 1, 15, -23.89,  9.61, 26.13,    2.80
113143, 3, 1, 15, -20.51, 10.07, 29.21,    2.67
113148, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113148, 2, 1, 9, -19.34, 11.10, 21.84,    2.78
113148, 3, 1, 15, -34.32, 32.60, 82.70,   -0.13
113148, 3, 2, 15, -11.40, -0.56, 25.90,    3.35
113148, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113148, 2, 1, 15, -17.68, -0.90, 27.21,    2.79
113148, 3, 1, 15, -14.37,  0.20, 30.01,    2.74
113149, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113149, 2, 1, 15, -17.89,  0.41, 29.97,    2.78
113149, 3, 1, 15, -14.20,  0.23, 30.51,    2.73
113150, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113150, 2, 1, 15, -19.26, -0.36, 34.15,    2.78
113150, 3, 1, 15, -14.93,  0.53, 31.75,    2.72
113160, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113160, 2, 1, 9, -9.00,  0.71, 22.82,    2.78
113160, 3, 1, 15, 513.77, -31.78, -1716.14,   -0.03
113160, 3, 2, 15, -11.41,  1.40, 27.56,    2.81
113160, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113160, 2, 1, 15, -8.26,  0.74, 27.98,    2.77
113160, 3, 1, 15, -8.74,  0.76, 28.74,    2.77
113161, 1, 1, 15, -9.58,  0.96, 29.32,    2.77
113161, 2, 1, 15, -9.01,  0.84, 34.30,    2.76
113161, 3, 1, 15, -9.03,  0.85, 31.75,    2.77
114114, 1, 1, 9, -26.54, -7.66, 20.37,    2.83
114114, 2, 1, 15, -27.10,  0.47, 26.79,    2.80
114114, 3, 1, 15, -7.13, -0.57, 25.32,    4.73
114125, 1, 1, 9, -26.54, -7.66, 20.37,    2.83
114125, 2, 1, 15, -17.14, -7.41, 31.77,    2.77
114125, 3, 1, 9, -36.69, -4.26, 36.94,    0.81
114125, 3, 2, 9, -6.04, -0.05, 26.53,    2.21
114126, 1, 1, 9, -26.54, -7.66, 20.37,    2.83
114126, 2, 1, 9, -19.34, 14.34, 20.97,    2.78
114126, 3, 1, 9, -23.55,  8.20, 19.14,    2.75
114126, 1, 1, 9, -26.54, -7.66, 20.37,    2.83
114126, 2, 1, 15, -17.36, -0.08, 27.95,    2.81
114126, 3, 1, 9, -25.58, -5.83, 17.49,    1.40
114126, 3, 2, 9, -9.86,  2.07, 31.97,    1.44
114142, 1, 1, 9, -26.54, -7.66, 20.37,    2.83
