runnum, segnum, evtnum, avex, avey, avez, aveE
111113, 15, 3, -20.205789, 3.789392, 28.579105, 2.707364
111114, 15, 3, -20.682154, -2.274514, 25.309289, 2.788238
111114, 15, 3, -27.670354, -0.266505, 27.424936, 2.799110
111125, 15, 3, -23.579559, -2.543636, 29.917598, 2.758789
111126, 15, 3, -29.979617, 2.461644, 33.377197, 2.302823
111126, 15, 3, -23.206188, -2.022856, 27.620623, 2.784352
111142, 15, 3, -23.320640, 2.067342, 30.771890, 2.795580
111143, 15, 3, -20.478299, 7.424439, 24.454833, 3.522702
111143, 15, 3, -26.593548, 4.184994, 27.233138, 2.801088
111148, 15, 3, -25.209689, 1.805055, 18.559216, 2.338345
111148, 15, 3, -23.287855, 4.176567, 27.172731, 2.777332
111149, 15, 3, -23.480566, 0.395789, 31.014482, 2.777741
111150, 15, 3, -24.527322, 0.497885, 33.279124, 2.767237
111160, 15, 3, -17.694039, -1.012563, 26.442176, 2.333039
111160, 15, 3, -19.778578, 7.148468, 29.588154, 2.703581
111161, 15, 3, -19.668899, 2.413223, 31.309346, 2.713430
113114, 15, 3, 8.310290, -6.410559, 14.483216, 2.424841
113114, 15, 3, -18.623819, 0.524933, 28.435717, 2.734450
113125, 15, 3, -14.276330, -7.251345, 30.651917, 2.753948
113126, 15, 3, -12.484986, 3.186774, 27.511461, 2.710146
113126, 15, 3, -13.710665, 0.382553, 29.089369, 2.771617
113142, 15, 3, -14.441498, 9.057484, 30.639088, 2.745471
113143, 15, 3, -13.830692, -0.075685, 23.718559, 2.873509
113143, 15, 3, -18.366360, 1.785929, 28.664313, 2.741977
113148, 15, 3, -11.487083, 1.031059, 26.274508, 3.486413
113148, 15, 3, -13.762468, 0.556582, 27.898657, 2.765595
113149, 15, 3, -13.836604, 0.489792, 29.933608, 2.756956
113150, 15, 3, -14.629272, 0.444170, 31.814005, 2.754828
113160, 15, 3, -8.537230, 0.431005, 25.115565, 2.361085
113160, 15, 3, -9.090485, 0.443722, 31.094529, 2.786982
113161, 15, 3, -9.288829, 0.870577, 31.838557, 2.765384
114114, 9, 3, -20.197867, 7.207582, 26.069951, 3.444169
114125, 9, 3, -17.600399, -4.698804, 24.060305, 2.407333
114126, 9, 3, -22.592949, 9.557154, 18.255281, 2.784411
114126, 9, 3, -17.511189, -2.243991, 24.630203, 2.380516
114142, 9, 3, -18.689786, 4.595295, 27.293605, 2.388295
114143, 9, 3, -26.427408, 6.694450, 18.676925, 2.794651
114143, 9, 3, -19.311825, 0.875191, 22.227171, 2.749326
114148, 9, 3, -22.409210, -1.732902, 19.466417, 2.790024
114148, 9, 3, -18.986267, -2.703341, 24.997173, 2.387169
114149, 9, 3, -20.351858, -1.712278, 23.156709, 2.335389
114150, 9, 3, -17.982422, -3.178542, 29.007193, 2.673750
114160, 9, 3, -20.053842, 2.668676, 22.278589, 2.689608
114160, 9, 3, -1.745570, -3.625216, 22.577121, 2.337136
