run, evt, int, seg, x, y, z, e
111113, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111113, 2, 1, 15, -9.61,  0.92, 29.29,    2.77
111113, 3, 1, 15, -22.51, 10.42, 28.47,    2.55
111114, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111114, 2, 1, 9, -26.40, -8.04, 20.43,    2.83
111114, 3, 1, 15, -8.35,  3.19, 22.80,    1.74
111114, 3, 2, 15, -5.94, -0.82, 32.25,    3.73
111114, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111114, 2, 1, 15, -27.11,  0.59, 26.87,    2.80
111114, 3, 1, 15, -27.41, -1.42, 27.43,    2.80
111125, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111125, 2, 1, 15, -17.58, -19.72, 34.39,    2.76
111125, 3, 1, 15, -24.66, 12.06, 27.39,    2.72
111126, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111126, 2, 1, 9, -19.50,  6.03, 21.01,    2.78
111126, 3, 1, 15, -67.31,  2.20, 78.06,    0.22
111126, 3, 2, 15, -16.58,  0.46, 24.24,    2.45
111126, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111126, 2, 1, 15, -17.34, -0.14, 27.93,    2.81
111126, 3, 1, 15, -23.78, -5.96, 26.96,    2.75
111142, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111142, 2, 1, 15, -17.12,  8.53, 31.47,    2.84
111142, 3, 1, 15, -24.34, -2.36, 32.88,    2.75
111143, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111143, 2, 1, 9, -26.19, 21.26, 18.85,    2.78
111143, 3, 1, 15, -6.74,  0.99, 26.54,    4.99
111143, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111143, 2, 1, 15, -24.04,  9.62, 26.08,    2.80
111143, 3, 1, 15, -27.24,  2.91, 27.65,    2.80
111148, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111148, 2, 1, 9, -18.79,  1.55, 21.36,    2.79
111148, 3, 1, 15, -50.47,  7.58, -12.43,    0.46
111148, 3, 2, 15, -6.20,  0.09, 25.13,    2.39
111148, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111148, 2, 1, 15, -17.67, -0.92, 27.19,    2.79
111148, 3, 1, 15, -23.69, 13.42, 26.36,    2.75
111149, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111149, 2, 1, 15, -17.89,  0.17, 29.76,    2.77
111149, 3, 1, 15, -24.05,  0.99, 35.32,    2.76
111150, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111150, 2, 1, 15, -21.06,  0.81, 38.17,    2.74
111150, 3, 1, 15, -24.02,  0.66, 33.69,    2.76
111160, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111160, 2, 1, 9, -9.00,  0.75, 22.86,    2.78
111160, 3, 1, 15, -25.06, -7.88, 31.82,    0.61
111160, 3, 2, 15, -6.10,  0.25, 25.18,    2.22
111160, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111160, 2, 1, 15, -7.17,  0.60, 28.30,    2.85
111160, 3, 1, 15, -23.66, 20.82, 32.49,    2.46
111161, 1, 1, 15, -28.50,  0.03, 27.97,    2.80
111161, 2, 1, 15, -9.01,  0.86, 34.34,    2.76
111161, 3, 1, 15, -21.49,  6.36, 31.61,    2.58
113114, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113114, 2, 1, 9, -26.40, -8.03, 20.43,    2.83
113114, 3, 1, 9, 120.43, -19.18, -34.39,   -0.29
113114, 3, 2, 9,  1.42, -5.06, 21.79,    3.63
113114, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113114, 2, 1, 15, -25.39, -7.24, 25.95,    2.79
113114, 3, 1, 15, -20.90,  7.90, 30.03,    2.65
113125, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113125, 2, 1, 15, -18.59, -22.69, 31.25,    2.75
113125, 3, 1, 15, -14.65,  0.02, 31.39,    2.74
113126, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113126, 2, 1, 9, -19.52,  6.16, 21.08,    2.78
113126, 3, 1, 15, -10.75,  4.16, 39.31,   -2.31
113126, 3, 2, 9, -5.95,  0.80, 24.96,    7.47
113126, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113126, 2, 1, 15, -17.35, -0.09, 27.93,    2.81
113126, 3, 1, 15, -14.19,  0.32, 30.02,    2.73
113142, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113142, 2, 1, 15, -17.84, 23.20, 32.33,    2.77
113142, 3, 1, 15, -15.89,  3.05, 30.26,    2.70
113143, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113143, 2, 1, 9, -27.42,  0.81, 22.52,    2.80
113143, 3, 1, 9, -2.98, -3.56, 13.39,   -1.37
113143, 3, 2, 9, -5.99, -0.36, 25.24,    7.47
113143, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113143, 2, 1, 15, -24.04,  9.63, 26.15,    2.80
113143, 3, 1, 15, -21.47, -5.20, 30.53,    2.65
113148, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113148, 2, 1, 9, -18.82,  1.56, 21.40,    2.79
113148, 3, 1, 15, -6.05,  0.62, 28.11,    4.90
113148, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113148, 2, 1, 15, -17.51,  0.47, 24.27,    2.79
113148, 3, 1, 15, -14.19,  0.28, 30.10,    2.74
113149, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113149, 2, 1, 15, -17.75,  0.43, 29.89,    2.77
113149, 3, 1, 15, -14.17,  0.12, 30.60,    2.73
113150, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113150, 2, 1, 15, -19.23,  0.13, 33.80,    2.78
113150, 3, 1, 15, -15.07,  0.28, 32.32,    2.71
113160, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113160, 2, 1, 9, -9.01,  0.71, 22.81,    2.78
113160, 3, 1, 15, -8.07, -0.03, 24.22,    5.66
113160, 3, 2, 15, -5.96, -0.66, 22.20,   -2.59
113160, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113160, 2, 1, 15, -8.55, -0.33, 35.18,    2.81
113160, 3, 1, 15, -9.13,  0.74, 28.78,    2.78
113161, 1, 1, 15, -9.59,  0.92, 29.32,    2.77
113161, 2, 1, 15, -9.22,  0.85, 34.43,    2.76
113161, 3, 1, 15, -9.05,  0.84, 31.77,    2.77
114114, 1, 1, 9, -26.54, -7.64, 20.35,    2.83
114114, 2, 1, 15, -26.93, 29.84, 32.54,    2.78
114114, 3, 1, 15, -7.13, -0.57, 25.32,    4.73
114125, 1, 1, 9, -26.54, -7.64, 20.35,    2.83
114125, 2, 1, 15, -16.33, -7.08, 32.69,    2.79
114125, 3, 1, 9, -3.93, -2.56, 20.65,    1.05
114125, 3, 2, 9, -15.93,  3.81, 17.63,    2.17
114126, 1, 1, 9, -26.54, -7.64, 20.35,    2.83
