runnum, segnum, evtnum, avex, avey, avez, aveE
111, 15, 68, -28.233986, 0.620247, 29.066748, 2.788133
113, 15, 42, -10.808989, 2.393115, 29.424948, 2.760566
114, 9, 40, -26.507805, -4.792065, 19.813645, 2.810816
114, 15, 58, -26.027414, -2.549662, 25.901374, 2.793278
125, 15, 49, -17.408746, -2.558301, 32.001081, 2.776462
126, 9, 44, -19.128531, 11.214535, 21.790843, 2.781488
126, 15, 43, -17.512658, -0.257257, 28.892911, 2.781608
142, 15, 39, -17.222895, 9.008531, 31.281566, 2.799864
143, 9, 38, -26.571212, 14.261590, 19.765216, 2.794433
143, 15, 32, -24.676280, 7.164211, 27.073789, 2.809293
148, 9, 29, -19.209614, 11.943845, 22.346397, 2.787241
148, 15, 26, -17.325592, 5.951922, 27.168411, 2.785445
149, 15, 33, -18.184742, 2.687328, 30.145200, 2.773450
150, 15, 39, -18.759800, 7.605518, 34.771358, 2.788925
160, 9, 15, -9.772165, 1.610413, 22.541872, 2.777180
160, 15, 24, -8.989320, 0.532682, 32.656285, 2.769463
161, 15, 49, -9.471751, 1.509340, 34.338185, 2.761152
