evt, seg, ch, val
a,n,1,0
a,n,2,0
a,n,3,0
a,n,4,0
a,n,5,0
a,n,6,0
a,n,7,0
a,n,8,0
a,n,9,0
a,n,10,0
a,n,11,0
a,n,12,0
a,n,13,0
a,n,14,0
a,n,15,0
a,n,16,0
a,n,17,0
a,n,18,0
a,n,19,0
a,n,20,0
a,n,21,0
a,n,22,0
a,n,23,0
a,n,24,0
a,n,25,0
a,n,26,0
a,n,27,0
a,n,28,0
a,n,29,0
a,n,30,0
a,n,31,0
a,n,32,0
a,n,33,0
a,n,34,0
a,n,35,0
a,n,36,0
a,n,37,0
a,n,38,0
a,n,39,0
a,n,40,0
a,n,41,0
a,n,42,0
a,n,43,0
a,n,44,0
a,n,45,0
a,n,46,0
a,n,47,0
a,n,48,0
a,n,49,0
a,n,50,0
a,n,51,0
a,n,52,0
a,n,53,0
a,n,54,0
a,n,55,0
a,n,56,0
a,n,57,0
a,n,58,0
a,n,59,0
a,n,60,0
a,n,61,0
a,n,62,0
a,n,63,0
a,n,64,0
a,n,65,0
a,n,66,0
a,n,67,0
a,n,68,0
a,n,69,0
a,n,70,0
a,n,71,0
a,n,72,0
a,n,73,0
a,n,74,0
a,n,75,0
a,n,76,0
a,n,77,0
a,n,78,0
a,n,79,0
a,n,80,0
a,n,81,0
a,n,82,0
a,n,83,0
a,n,84,0
a,n,85,0
a,n,86,0
a,n,87,0
a,n,88,0
a,n,89,0
a,n,90,0
a,n,91,0
a,n,92,0
a,n,93,0
a,n,94,0
a,n,95,0
a,n,96,0
a,n,97,0
a,n,98,0
a,n,99,0
a,n,100,0
a,n,101,0
a,n,102,0
a,n,103,0
a,n,104,0
a,n,105,0
a,n,106,0
a,n,107,0
a,n,108,0
a,n,109,0
a,n,110,0
a,n,111,0
a,n,112,0
a,n,113,0
a,n,114,0
a,n,115,0
a,n,116,0
a,n,117,0
a,n,118,0
a,n,119,0
a,n,120,0
a,n,121,0
a,n,122,0
a,n,123,0
a,n,124,0
a,n,125,0
a,n,126,0
a,n,127,0
a,n,128,0
a,n,129,0
a,n,130,0
a,n,131,0
a,n,132,0
a,n,133,0
a,n,134,0
a,n,135,0
a,n,136,0
a,n,137,0
a,n,138,0
a,n,139,0
a,n,140,0
a,n,141,5
a,n,142,23
a,n,143,50
a,n,144,84
a,n,145,122
a,n,146,162
a,n,147,205
a,n,148,248
a,n,149,293
a,n,150,339
a,n,151,386
a,n,152,434
a,n,153,484
a,n,154,534
a,n,155,586
a,n,156,640
a,n,157,697
a,n,158,755
a,n,159,816
a,n,160,881
a,n,161,949
a,n,162,1022
a,n,163,1101
a,n,164,1186
a,n,165,1279
a,n,166,1384
a,n,167,1504
a,n,168,1648
a,n,169,1832
a,n,170,2076
a,n,171,2360
a,n,172,2669
a,n,173,3007
a,n,174,3339
a,n,175,3635
a,n,176,3890
a,n,177,4102
a,n,178,4274
a,n,179,4413
a,n,180,4525
a,n,181,4616
a,n,182,4690
a,n,183,4749
a,n,184,4797
a,n,185,4836
a,n,186,4867
a,n,187,4892
a,n,188,4913
a,n,189,4929
a,n,190,4992
a,n,191,4989
a,n,192,4987
a,n,193,4984
a,n,194,4982
a,n,195,4979
a,n,196,4977
a,n,197,4974
a,n,198,4972
